Sample	read_type	chromosome:	number_chunks	chunking_time	aggregating_time	filtering_time	saving_raw_time	classifying_time	saving_bed_time	total_time	time_per_chunk	number_dark_regions	percent_dark_regions	node_of_execution	job_id	peak_RAM_GB	job_time	cores	window_size	filtering_depth	filtering_mapq	filtering_phred	
PAH-105BC_SR	short	15	102	69	1515	1308	95	15.5	9810	12812.5	125.6127451	32334	9.183892834	17	11545343.hpcpbs02	84.81002	3:37:00	40	1000000	10	10	7	15
PAH-105BC_SR	short	16	91	185	3007	2935	181	19.1	9863	16190.1	177.9131868	25426	5.577472109	60	11545342.hpcpbs02	78.374256	4:37:00	40	1000000	10	10	7	16
PAH-105BC_SR	short	17	84	184	2340	2821	75	8	1999	7427	88.41666667	17342	2.340291507	37	11545341.hpcpbs02	67.992236	2:10:00	40	1000000	10	10	7	17
PAH-105BC_SR	short	18	81	178	2193	2634	120	11.9	9334	14470.9	178.6530864	54694	3.62338273	39	11545340.hpcpbs02	65.643064	4:07:00	40	1000000	10	10	7	18
PAH-105BC_SR	short	19	59	201	1138	1819	45	4.7	390	3597.7	60.9779661	5003	1.452985615	38	11545339.hpcpbs02	49.735904	1:02:00	40	1000000	10	10	7	19
PAH-105BC_SR	short	20	65	182	1297	1941	53	5	2081	5559	85.52307692	23886	1.653104448	30	11545338.hpcpbs02	53.759988	1:36:00	40	1000000	10	10	7	20
PAH-105BC_SR	short	21	47	179	1396	1283	156	18.8	7430	10462.8	222.612766	21562	5.246061302	36	11545337.hpcpbs02	44.552852	2:56:00	40	1000000	10	10	7	21
PAH-105BC_SR	short	22	51	69	440	567	63	10.4	1321	2470.4	48.43921569	5965	6.237537007	22	11545336.hpcpbs02	46.51974	0:42:00	40	1000000	10	10	7	22
PAH-105BC_SR	short	X	157							0	0			22	11547224.hpcpbs02			40	1000000	10	10	7	X
PAH-105BC_SR	short	Y	58	178	1388	1600	557	78.7	84852	88653.7	1528.512069	59526	78.05166283	60	11547225.hpcpbs02	48.406132	24:46:00	40	1000000	10	10	7	Y
PAH-105BC_SR	short	WG	3102	3116	99428	72138	3216	407.3	587582	765887.3	246.9011283	1749545	N/A	N/A	N/A	2461.590364	217:15:00	N/A	N/A	N/A	N/A	N/A	WG
PAH-105TM_SR	short 	1	249	72	11134	4806	99	15.7	2688	18814.7	75.56104418	8385	8.682605504	49	11550222.hpcpbs02	205.65532	5:34:00	40	1000000	10	10	7	1
PAH-105TM_SR	short	2	243	73	9113	4298	15	2.4	155	13656.4	56.19917695	5415	1.558393412	40	11550221.hpcpbs02 	200.874144	4:06:00	40	1000000	10	10	7	2
